"
",Churn,N2EX,EPEX SPOT,ICE,OTC,,
01/01/2016,4.7,9.83,6.69,1.28,122.35,,
01/02/2016,5,11.94,6.8,1.21,117.91,,
01/03/2016,4,13.52,7.64,0.37,89.79,,
01/04/2016,4.3,8.24,3.93,1.19,97.36,,
01/05/2016,4.8,8.25,4.1,1.38,98.38,,
01/06/2016,4.3,7.91,3.87,0.77,82.87,,
01/07/2016,3.6,8.17,4.1,0.92,67.05,,
01/08/2016,3.5,8.07,3.94,2.16,64.78,,
01/09/2016,6.3,8.13,3.77,4.3,127.37,,
01/10/2016,6.2,8.97,3.91,2.57,139.45,,
01/11/2016,5.8,9.65,4.13,5.29,141.76,,
01/12/2016,3.8,9.35,4.26,3.25,89.34,,
01/01/2017,4.2,10.62,5.59,2.17,107.06,,
01/02/2017,3.4,8.96,5.06,1.3,78.15,,
01/03/2017,2.9,9.45,5.25,1.05,65.19,,
01/04/2017,2.5,8.89,4.95,0.23,43.27,,
01/05/2017,5.2,8.54,4.77,0.72,108.54,,
01/06/2017,3.8,8.42,4.85,0.38,70.81,,
01/07/2017,4,9.52,5.11,0.07,76.83,,
01/08/2017,3.8,9.44,5.44,0.13,70.25,,
01/09/2017,5,9.36,5.5,0.68,96.68,,
01/10/2017,3.9,9.55,6.48,0.55,79.14,,
01/11/2017,2.9,10.4,6.37,0.6,60.85,,
01/12/2017,2.7,11.01,6.31,0.06,59.57,,
01/01/2018,2.9,11.28,6.09,0.11,67.64,,
01/02/2018,2.9,10.59,5.82,0.19,60.93,,
01/03/2018,3.6,10.48,6.49,0.04,76.84,,
01/04/2018,3.2,9.5,5.67,0.2,64.67,,
01/05/2018,4.7,9.42,5.36,0.08,92.41,,
01/06/2018,3.9,8.63,4.95,0.14,72.6,,
01/07/2018,3.2,9.06,5.02,0.12,59.1,,
01/08/2018,4.3,9.03,5.25,0.04,81.71,,
01/09/2018,4.9,9.05,5.59,0.13,94.69,,
01/10/2018,4.3,10.47,6.03,0.12,89.14,,
01/11/2018,3.8,11.15,6.17,0.15,83.8,,
01/12/2018,2.6,11.58,6.24,0.06,53.14,,
01/01/2019,3.4,10.85,6.31,0.16,83.26,,
01/02/2019,3.5,10.09,5.61,0.04,70.91,,
01/03/2019,3.4,10.2,6.41,0.19,69.9,,
01/04/2019,4.3,8.19,5.63,0.26,86.39,,
01/05/2019,3.6,8.06,5.41,0.16,69.17,,
01/06/2019,3.5,6.1,5.66,0.55,62.17,,
01/07/2019,4,6.26,5.36,0.43,75.03,,
01/08/2019,3.6,6.14,5.77,0.49,65.28,,
01/09/2019,4.5,5.47,6.33,0.04,85.58,,
01/10/2019,3.6,6.52,7.38,0.09,74.54,,
01/11/2019,3,7.55,6.45,0.14,64.26,,
01/12/2019,2.7,8.03,7,0.1,58.58,,
01/01/2020,3.4,8.55,6.97,0.36,80.17,,
01/02/2020,3.7,9.14,6.86,0.26,79.87,,
01/03/2020,3.6,9.96,6.74,0.21,76.44,,
01/04/2020,4.6,7.56,6.59,0.17,79.14,,
01/05/2020,3.6,7.78,6.64,0.19,58.27,,
01/06/2020,4,7.99,6.06,0.32,65.83,,
01/07/2020,3.8,7.87,5.64,0.5,64.79,,
01/08/2020,2.7,8.1,5.65,0.46,42.91,,
01/09/2020,2.9,8.09,5.72,0.17,48.49,,
01/10/2020,3.2,9.09,6.24,0.01,63.04,,
01/11/2020,2.4,9.61,6.62,0.35,43.42,,
01/12/2020,2.1,9.59,6.62,0.23,42.66,,103.33
01/01/2021,2.7,6.54,5.42,0.03,65.09,,
01/02/2021,3.3,6.3,5.65,0.04,68.77,,
01/03/2021,3.3,6.39,5.18,0.02,70.13,,
01/04/2021,2.5,5.14,4.22,0.26,48.5,,
01/05/2021,2.6,5.19,4.43,0.09,50.1,,
01/06/2021,2.5,4.65,3.99,0.12,44.39,,
01/07/2021,2,5.07,4.05,0.06,33.42,,
01/08/2021,2.4,5.55,4.3,0.49,40.33,,
01/09/2021,3.8,5.06,3.96,0.14,72.2,,
01/10/2021,2.4,6.65,5.22,0.11,43.3,,
01/11/2021,2,7.62,5.66,0.02,36.7,,
01/12/2021,2,10.48,5.76,0.71,37.56,,0.259027474
01/01/2022,1.8,9.75,6.07,1.45,33.37,,
01/02/2022,2.2,10.09,5.97,0.32,37.38,,
01/03/2022,2,9.09,5.65,0.66,33.83,,
01/04/2022,1.9,9.7,5.49,1.74,24.75,,
01/05/2022,2.6,9.05,5.9,1.62,38.7,,
01/06/2022,2.7,9.02,5.59,1.78,37.47,,
01/07/2022,2.5,9.7,5.48,2.17,36.04,,
01/08/2022,2.2,8.73,5.16,4.73,27.45,,
01/09/2022,2.4,9.57,5.42,5.96,27.7,,
01/10/2022,2.1,10.72,5.99,4.88,24.38,,
01/11/2022,2,10.86,6.15,4.77,25.38,,
01/12/2022,1.7,11.03,6.16,3.82,26.38,,0.362297182
,,,,,,,
,2022,117.31,69.03,33.9,372.83,593.07,
,,0.1978,0.1164,0.0572,0.6286,,
,,,,,,,
,2021,74.64,57.84,2.09,610.49,745.06,
,,0.1002,0.0776,0.0028,0.8194,,
,,,,,,,
,2020,103.33,76.35,3.23,745.03,927.94,
,,0.1114,0.0823,0.0035,0.8029,,
,,,,,,,
,2019,93.46,73.32,2.65,865.07,1034.5,
,,0.0903,0.0709,0.0026,0.8362,,
